Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,400,395.6179150198295,310.2225000002363,466.8955420020211,365.6,0.8448784569481547,0.0,400,410,410,410,410,430,470,470,470,470,470
GET,/beneficiaries,329,0,6,8.154079148963488,1.948207998793805,93.38449999995646,375.48936170212767,5.559300246718858,0.0,6,9,10,10,13,15,19,24,93,93,93
GET,/kyc/me/status,273,0,5,7.4058718168182684,2.6154170009249356,94.71433300132048,132.0,4.613036374936924,0.0,5,8,9,10,13,16,19,30,95,95,95
GET,/limits/me,353,0,8,9.517072461867093,2.4842500024533365,80.34858300015912,222.45042492917847,5.964841906053972,0.0,8,10,12,12,15,18,21,23,80,80,80
POST,/remittances [POST],496,0,11,12.847954122853187,6.342333999782568,47.011791000841185,620.4596774193549,8.381194292925695,0.0,11,14,16,17,20,22,25,27,47,47,47
GET,/users/me,479,0,6,6.83010910019114,1.8176669982494786,105.81491600169102,210.5615866388309,8.093935617563321,0.0,6,7,8,9,11,13,16,18,110,110,110
GET,/wallet/me,344,0,8,8.974939456419275,2.8896249968966004,117.1559590002289,99.0,5.812763783803304,0.0,8,9,11,12,14,17,20,22,120,120,120
,Aggregated,2324,0,8,17.459769385957788,1.8176669982494786,466.8955420020211,300.7917383820998,39.26995067895023,0.0,8,10,12,13,17,20,370,400,430,470,470
